epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,28669.8,0.4892,0.55545,1.03563,0.9287,0.88586,0.95184,0.81805,0.68723,0.51104,0.87473,0.00213077,0.00213077,0.00213077
95,28976.1,0.48275,0.55355,1.02937,0.92798,0.88696,0.95179,0.81901,0.68816,0.51148,0.87567,0.00204615,0.00204615,0.00204615
96,29283.7,0.48197,0.55297,1.03009,0.92785,0.88834,0.95175,0.81895,0.68877,0.51115,0.87585,0.00196154,0.00196154,0.00196154
97,29591.4,0.48433,0.54811,1.0315,0.91559,0.90054,0.95174,0.81894,0.69024,0.51103,0.87748,0.00187692,0.00187692,0.00187692
98,29873.4,0.48625,0.54145,1.03079,0.91532,0.90061,0.9518,0.81908,0.69125,0.51065,0.87886,0.00179231,0.00179231,0.00179231
99,30157.8,0.48254,0.53941,1.03151,0.9158,0.9005,0.9517,0.81896,0.69142,0.5107,0.87911,0.00170769,0.00170769,0.00170769
100,30460.4,0.48699,0.5428,1.02958,0.92026,0.89704,0.95252,0.8197,0.69223,0.51224,0.88004,0.00162308,0.00162308,0.00162308
101,30761.4,0.47685,0.53634,1.02619,0.919,0.89733,0.9524,0.81984,0.69203,0.51395,0.87988,0.00153846,0.00153846,0.00153846
102,31061.5,0.47388,0.53866,1.02521,0.92071,0.89645,0.95267,0.8206,0.69161,0.51369,0.87968,0.00145385,0.00145385,0.00145385
103,31364.6,0.47269,0.52836,1.02495,0.92095,0.89519,0.95275,0.82188,0.69099,0.51138,0.87875,0.00136923,0.00136923,0.00136923
104,31666.9,0.4693,0.52919,1.0245,0.92028,0.89527,0.95274,0.82128,0.68961,0.50963,0.87735,0.00128462,0.00128462,0.00128462
105,31967.1,0.47991,0.53325,1.02686,0.92435,0.89149,0.95276,0.8214,0.68863,0.5081,0.8767,0.0012,0.0012,0.0012
106,32265.8,0.46825,0.51947,1.02022,0.92787,0.88977,0.95291,0.82162,0.68734,0.50527,0.87525,0.00111538,0.00111538,0.00111538
107,32558.2,0.47352,0.51901,1.02204,0.92651,0.8905,0.95307,0.82178,0.68619,0.50321,0.87401,0.00103077,0.00103077,0.00103077
108,32830,0.54729,0.40251,1.04088,0.92693,0.89064,0.95296,0.82181,0.68604,0.50183,0.87383,0.000946154,0.000946154,0.000946154
109,33100.7,0.5385,0.38555,1.03553,0.93158,0.88804,0.95294,0.82204,0.68656,0.50192,0.87442,0.000861538,0.000861538,0.000861538
110,33378.1,0.53248,0.3756,1.03383,0.93147,0.88794,0.95258,0.82133,0.68696,0.50125,0.8749,0.000776923,0.000776923,0.000776923
111,33654.9,0.5298,0.36641,1.02874,0.931,0.88914,0.95253,0.82165,0.68715,0.50044,0.87509,0.000692308,0.000692308,0.000692308
112,33930.8,0.52707,0.36313,1.03129,0.93006,0.88969,0.95269,0.82155,0.68687,0.4993,0.875,0.000607692,0.000607692,0.000607692
113,34200.5,0.5257,0.35789,1.0284,0.92838,0.89344,0.95266,0.82148,0.68674,0.49807,0.87466,0.000523077,0.000523077,0.000523077
114,34470.3,0.52233,0.35657,1.02673,0.92829,0.89403,0.95263,0.82168,0.68546,0.49744,0.87363,0.000438462,0.000438462,0.000438462
115,34738.9,0.52047,0.35282,1.0244,0.9248,0.89963,0.95254,0.82197,0.68449,0.49611,0.87273,0.000353846,0.000353846,0.000353846
116,35008.2,0.51608,0.345,1.02025,0.92247,0.90157,0.95262,0.82244,0.68313,0.49471,0.87141,0.000269231,0.000269231,0.000269231
117,35275.9,0.51596,0.3497,1.02419,0.91954,0.90352,0.95243,0.82199,0.68109,0.4923,0.8693,0.000184615,0.000184615,0.000184615
